Taxa1	Taxa1Imp	Taxa2	Taxa2Imp	Correlation
16	0.1740334753202349	36	0.3212850122605424	0.7857142857142858
16	0.1740334753202349	50	0.05441548542842328	0.7364853795464744
16	0.1740334753202349	55	0.2240692592744547	0.8455943246644706
16	0.1740334753202349	16	0.1740334753202349	0
17	0.0673328391039231	18	0.08413816783002523	0.7857142857142858
17	0.0673328391039231	17	0.0673328391039231	0
18	0.08413816783002523	18	0.08413816783002523	0
19	0.8413341501613257	20	0.5784078081487778	0.904761904761905
19	0.8413341501613257	24	0.5497942495286637	-0.7356521196761696
19	0.8413341501613257	25	1.0	0.880952380952381
19	0.8413341501613257	29	0.6302170588467989	0.761904761904762
19	0.8413341501613257	32	0.27023962019149117	-0.7075275528876868
19	0.8413341501613257	49	0.7802147767380978	0.8455943246644706
19	0.8413341501613257	51	0.739197394205912	0.7807200583588266
19	0.8413341501613257	19	0.8413341501613257	0
20	0.5784078081487778	24	0.5497942495286637	-0.7610194341477615
20	0.5784078081487778	29	0.6302170588467989	0.7142857142857144
20	0.5784078081487778	32	0.27023962019149117	-0.7807200583588266
20	0.5784078081487778	37	0.4891793417817146	0.7380952380952382
20	0.5784078081487778	51	0.739197394205912	0.7563225565351134
20	0.5784078081487778	20	0.5784078081487778	0
21	0.3287094096878306	22	0.34224562109518636	0.9357754408380655
21	0.3287094096878306	41	0.22000130865544057	0.8498050347983337
21	0.3287094096878306	21	0.3287094096878306	0
22	0.34224562109518636	33	0.44235919641648513	0.7319250547113999
22	0.34224562109518636	34	0.18201355622847315	0.7267220926874316
22	0.34224562109518636	36	0.3212850122605424	-0.7075275528876868
22	0.34224562109518636	41	0.22000130865544057	0.95150257112482
22	0.34224562109518636	22	0.34224562109518636	0
23	0.6587892463151191	25	1.0	0.8333333333333335
23	0.6587892463151191	30	0.5369192941346824	0.8095238095238095
23	0.6587892463151191	42	0.6810061907728235	0.8571428571428573
23	0.6587892463151191	56	0.7810353895561026	0.7075275528876868
23	0.6587892463151191	23	0.6587892463151191	0
24	0.5497942495286637	33	0.44235919641648513	-0.7610194341477615
24	0.5497942495286637	37	0.4891793417817146	-0.8371213775625378
24	0.5497942495286637	47	0.29394677842673766	0.8648648648648648
24	0.5497942495286637	56	0.7810353895561026	-0.8058066296105564
24	0.5497942495286637	24	0.5497942495286637	0
25	1.0	29	0.6302170588467989	0.761904761904762
25	1.0	30	0.5369192941346824	0.761904761904762
25	1.0	31	0.6118035583739578	0.7142857142857144
25	1.0	42	0.6810061907728235	0.7380952380952382
25	1.0	49	0.7802147767380978	0.8455943246644706
25	1.0	51	0.739197394205912	0.7807200583588266
25	1.0	56	0.7810353895561026	0.7075275528876868
25	1.0	25	1.0	0
26	0.08963016480838172	43	0.07960064319501366	-0.7863867486193536
26	0.08963016480838172	26	0.08963016480838172	0
27	0.0	27	0.0	0
28	0.0	28	0.0	0
29	0.6302170588467989	37	0.4891793417817146	0.7142857142857144
29	0.6302170588467989	49	0.7802147767380978	0.7910398521054726
29	0.6302170588467989	51	0.739197394205912	0.9271050693011067
29	0.6302170588467989	29	0.6302170588467989	0
30	0.5369192941346824	42	0.6810061907728235	0.880952380952381
30	0.5369192941346824	30	0.5369192941346824	0
31	0.6118035583739578	42	0.6810061907728235	0.7380952380952382
31	0.6118035583739578	49	0.7802147767380978	0.7910398521054726
31	0.6118035583739578	31	0.6118035583739578	0
32	0.27023962019149117	46	0.1382562101721407	0.8
32	0.27023962019149117	32	0.27023962019149117	0
33	0.44235919641648513	37	0.4891793417817146	0.8095238095238095
33	0.44235919641648513	47	0.29394677842673766	-0.8371213775625378
33	0.44235919641648513	56	0.7810353895561026	0.80511756018254
33	0.44235919641648513	33	0.44235919641648513	0
34	0.18201355622847315	36	0.3212850122605424	-0.7910398521054726
34	0.18201355622847315	41	0.22000130865544057	0.7910398521054726
34	0.18201355622847315	34	0.18201355622847315	0
35	0.007655593789103445	57	0.007655593789103445	0.8781140799175228
35	0.007655593789103445	35	0.007655593789103445	0
36	0.3212850122605424	41	0.22000130865544057	-0.7380952380952382
36	0.3212850122605424	55	0.2240692592744547	0.7092081432669753
36	0.3212850122605424	36	0.3212850122605424	0
37	0.4891793417817146	47	0.29394677842673766	-0.8624886920341297
37	0.4891793417817146	56	0.7810353895561026	0.80511756018254
37	0.4891793417817146	37	0.4891793417817146	0
38	0.1258480056316357	45	0.1206789861796365	-0.8503146459584139
38	0.1258480056316357	55	0.2240692592744547	-0.7364853795464744
38	0.1258480056316357	38	0.1258480056316357	0
39	0.0059031084638869954	58	0.0059031084638869954	0.9999999999999998
39	0.0059031084638869954	39	0.0059031084638869954	0
40	0.0	40	0.0	0
41	0.22000130865544057	41	0.22000130865544057	0
42	0.6810061907728235	49	0.7802147767380978	0.7092081432669753
42	0.6810061907728235	42	0.6810061907728235	0
43	0.07960064319501366	43	0.07960064319501366	0
44	0.15788420896895655	51	0.739197394205912	-0.8385254915624211
44	0.15788420896895655	44	0.15788420896895655	0
45	0.1206789861796365	55	0.2240692592744547	0.8506730149201003
45	0.1206789861796365	45	0.1206789861796365	0
46	0.1382562101721407	46	0.1382562101721407	0
47	0.29394677842673766	56	0.7810353895561026	-0.9097816785925636
47	0.29394677842673766	47	0.29394677842673766	0
48	0.0	48	0.0	0
49	0.7802147767380978	51	0.739197394205912	0.8105746418436738
49	0.7802147767380978	49	0.7802147767380978	0
50	0.05441548542842328	50	0.05441548542842328	0
51	0.739197394205912	51	0.739197394205912	0
52	0.0	52	0.0	0
53	0.0	53	0.0	0
